1. 关于仲裁裁决执行的说法，正确的是{{c1::（）}}。[2017年真题]	具有中级以上职称<br>自然人<br>热心人民调解工作<br>具有大学本科学历	C	人民调解员由人民调解委员会委员和人民调解委员会聘任的人员担任。人民调解员应当具备的基本条件是：①公道正派；②热心人民调解工作；③具有一定文化水平；④有一定的法律知识和政策水平；⑤成年公民。
2. 关于仲裁协议的说法，正确的是{{c1::（）}}。[2016年真题]	行政调解<br>法院调解<br>仲裁调解<br>人民调解	D	人民调解是指人民调解委员会通过说服、疏导等方式，促使当事人在平等协商基础上自愿达成调解协议，解决民间纠纷的活动。人民调解制度作为一种司法辅助制度，是人民群众自己解决纠纷的法律制度，也是一种具有中国特色的司法制度。
3. 下列仲裁协议中，有效的仲裁协议是{{c1::（）}}。[2015年真题]	当事人庭外和解的，可以请求法院制作调解书<br>仲裁调解生效后产生执行效力<br>仲裁裁决生效后可以进行仲裁调解<br>法院在强制执行时不能制作调解书	C	仲裁调解是仲裁机构对受理的仲裁案件进行的调解。仲裁庭在作出裁决前，可以先行调解。当事人自愿调解的，仲裁庭应当调解。仲裁的调解达成协议的，仲裁庭应当制作调解书或者根据协议的结果制作裁决书。仲裁调解书与裁决书具有同等法律效力，调解书经双方当事人签收后即发生法律效力。
4. 下列有关仲裁的事项中，不属于《仲裁法》规定仲裁协议应当具有的内容是{{c1::（）}}。[2014年真题]	在调解书作出时<br>在当事人达成调解协议时<br>在调解书送达双方时<br>经双方当事人签收时	D	调解书与裁决书具有同等法律效力。调解书经双方当事人签收后，即发生法律效力；在调解书签收前当事人反悔的，仲裁庭应当及时作出裁决。
5. 某施工合同仅约定工程质量产生争议时由甲仲裁委员会仲裁。合同履行中，发包人与承包人在工程质量和工程价款上产生纠纷。承包人向甲仲裁委员会申请仲裁，发包人提出管辖异议，关于该案件仲裁受理的说法中，正确的是{{c1::（）}}。［2012年真题］	法院调解应由审判员一人主持<br>调解书经双方当事人签收即发生法律效力<br>法院调解必须邀请有关单位和个人协助<br>调解书与判决书的效力不同	B	《民事诉讼法》规定，人民法院进行调解，可以由审判员一人主持，也可以由合议庭主持，并尽可能就地进行。人民法院进行调解，可以邀请有关单位和个人协助。法院调解的调解书和判决书的效力是相同的，且调解书经双方当事人签收即发生法律效力。
6. 某建设工程施工合同纠纷案件在仲裁过程中，首席仲裁员甲认为应裁决合同无效，仲裁员乙和仲裁员丙认为应裁决合同继续履行，则仲裁庭应{{c1::（）}}作出裁决。[2016年真题]	双方签收的人民法院调解书<br>双方签收的人民调解委员会制作的调解书<br>双方签收的建设行政主管部门制作的调解书<br>一方拒绝签收的仲裁调解书	A	法院调解是人民法院对受理的民事案件、经济纠纷案件和轻微刑事案件在双方当事人自愿的基础上进行的调解，是诉讼内调解。法院调解书经双方当事人签收后，即具有法律效力，效力与判决书相同。
7. 下列关于《仲裁法》中规定的仲裁制度的表述正确的是{{c1::（）}}。［2009年真题］	进行判决<br>强制执行<br>留置送达<br>重新调解	A	在法院调解中，调解未达成协议或者调解书送达前一方反悔的，人民法院应当及时判决。
8. 关于仲裁调解的说法，下列正确的是{{c1::（）}}。[2011年真题]	人民调解委员会是依法设立的调解民间纠纷的群众性自治组织<br>人民委员会经调解达成的调解书与仲裁调解书具有相同的法律效力<br>人民委员会经调解达成的调解协议具有法律约束力<br>当事人对人民调解委员会经调解达成的调解协议有争议的，不得起诉	C	A项，人民调解委员会是村民委员会和居民委员会下设的调解民间纠纷的群众性自治组织，在人民政府和基层人民法院指导下进行工作。BC两项，经人民调解委员会调解达成调解协议的，可以制作调解协议书。经人民调解委员会调解达成的调解协议对当事人双方具有法律约束力，当事人应当履行。D项，当事人就调解协议的履行或者调解协议的内容发生争议的，一方当事人可以向法院提起诉讼。
9. 仲裁当事人达成仲裁和解协议的，一方当事人撤回仲裁申请后反悔的，另一方当事人{{c1::（）}}。[2012年真题]	当事人住所地<br>调解协议履行地<br>调解组织所在地<br>调解协议签订地	C	经人民调解委员会调解达成调解协议后，双方当事人认为有必要的，可以按照《民事诉讼法》的规定，自调解协议生效之日起30日内共同向调解组织所在地基层人民法院申请司法确认调解协议。
10. 仲裁过程中，申请人甲与被申请人乙双方自行和解，下列符合我国法律规定的做法是{{c1::（）}}。[2011年真题]	在仲裁程序中形成的仲裁调解书<br>由行政主管部门主持达成的调解书<br>人民法院在民事案件审理中制作的调解书<br>司法确认的人民调解委员会主持达成的调解协议	B	我国的调解方式主要有人民调解、行政调解、仲裁调解、法院调解和专业机构调解等，其中可以获得具有强制执行效力的法律文书是法院调解和仲裁调解。B项，行政调解是指有关国家行政机关应纠纷当事人的请求，依据法律、法规、规章和政策，对属于其职权管辖范围内的纠纷，通过耐心的说服教育，使纠纷的双方当事人互相谅解，在平等协商的基础上达成一致协议，促成当事人解决纠纷。行政调解达成的协议不具有强制约束力。
11. 某施工合同纠纷案经仲裁裁决，将已经竣工工程的部分楼层折价给施工单位抵偿工程欠款，但建设单位拒绝履行裁决。因此，施工单位决定申请执行仲裁裁决。关于申请执行仲裁裁决的说法，正确的是{{c1::（）}}。[2015年真题]	甲就乙违反协议的行为，向乙住所地法院提起民事诉讼<br>由法院执行和解协议<br>由法院依职权恢复原判决的执行<br>甲向法院申请恢复原判决的执行	D	《民事诉讼法》第二百三十条规定，在执行中，双方当事人自行和解达成协议的，执行员应当将协议内容记入笔录，由双方当事人签名或者盖章。一方当事人不履行和解协议的，人民法院可以根据对方当事人的申请，恢复对原生效法律文书的执行。所以本案例中，甲应向法院申请恢复原判决的执行。
